,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,L10_mean,L11_mean,L12_mean,L1_std,L2_std,L3_std,L4_std,L5_std,L6_std,L7_std,L8_std,L9_std,L10_std,L11_std,L12_std,L1_ptp,L2_ptp,L3_ptp,L4_ptp,L5_ptp,L6_ptp,L7_ptp,L8_ptp,L9_ptp,L10_ptp,L11_ptp,L12_ptp,L1_bp_0_5Hz,L2_bp_0_5Hz,L3_bp_0_5Hz,L4_bp_0_5Hz,L5_bp_0_5Hz,L6_bp_0_5Hz,L7_bp_0_5Hz,L8_bp_0_5Hz,L9_bp_0_5Hz,L10_bp_0_5Hz,L11_bp_0_5Hz,L12_bp_0_5Hz,L1_bp_5_15Hz,L2_bp_5_15Hz,L3_bp_5_15Hz,L4_bp_5_15Hz,L5_bp_5_15Hz,L6_bp_5_15Hz,L7_bp_5_15Hz,L8_bp_5_15Hz,L9_bp_5_15Hz,L10_bp_5_15Hz,L11_bp_5_15Hz,L12_bp_5_15Hz,L1_bp_15_40Hz,L2_bp_15_40Hz,L3_bp_15_40Hz,L4_bp_15_40Hz,L5_bp_15_40Hz,L6_bp_15_40Hz,L7_bp_15_40Hz,L8_bp_15_40Hz,L9_bp_15_40Hz,L10_bp_15_40Hz,L11_bp_15_40Hz,L12_bp_15_40Hz,n_beats,SDNN_ms,RMSSD_ms
L12_mean,0.075,0.098,0.005,0.097,0.047,0.06,0.031,0.081,0.158,0.303,0.436,1.0,0.015,0.027,0.002,0.014,0.015,0.019,0.008,0.013,0.004,0.003,0.001,0.005,0.019,0.021,0.01,0.009,0.024,0.012,0.008,0.013,0.003,0.0,0.006,0.003,0.014,0.029,0.022,0.025,0.017,0.028,0.005,0.014,0.003,0.011,0.019,0.021,0.02,0.017,0.014,0.003,0.028,0.01,0.009,0.006,0.004,0.002,0.002,0.005,0.016,0.024,0.013,0.01,0.025,0.012,0.004,0.013,0.005,0.009,0.002,0.007,0.001,0.003,0.007
L1_std,0.039,0.002,0.04,0.022,0.041,0.025,0.0,0.016,0.005,0.009,0.022,0.015,1.0,0.186,0.361,0.645,0.784,0.09,0.381,0.17,0.155,0.162,0.285,0.342,0.926,0.143,0.359,0.577,0.748,0.064,0.365,0.141,0.128,0.113,0.234,0.311,0.677,0.165,0.313,0.401,0.557,0.172,0.311,0.171,0.107,0.143,0.233,0.259,0.908,0.172,0.294,0.603,0.712,0.04,0.354,0.149,0.141,0.167,0.287,0.355,0.837,0.11,0.318,0.503,0.714,0.01,0.362,0.112,0.126,0.119,0.227,0.29,0.117,0.078,0.072
L2_std,0.047,0.005,0.034,0.022,0.047,0.01,0.011,0.007,0.001,0.008,0.025,0.027,0.186,1.0,0.384,0.706,0.081,0.794,0.322,0.26,0.246,0.367,0.461,0.497,0.115,0.914,0.345,0.628,0.04,0.741,0.343,0.25,0.184,0.264,0.361,0.461,0.258,0.654,0.356,0.533,0.259,0.53,0.253,0.229,0.231,0.319,0.383,0.368,0.136,0.858,0.268,0.578,0.03,0.694,0.268,0.23,0.233,0.388,0.478,0.507,0.082,0.83,0.259,0.538,0.06,0.687,0.334,0.242,0.18,0.291,0.387,0.48,0.156,0.038,0.064
L3_std,0.013,0.04,0.029,0.028,0.012,0.038,0.007,0.0,0.011,0.015,0.0,0.002,0.361,0.384,1.0,0.259,0.702,0.724,0.33,0.268,0.274,0.206,0.19,0.234,0.284,0.335,0.919,0.196,0.622,0.66,0.293,0.24,0.219,0.131,0.149,0.209,0.388,0.453,0.766,0.346,0.659,0.657,0.358,0.247,0.265,0.283,0.273,0.287,0.327,0.254,0.86,0.192,0.577,0.559,0.301,0.26,0.271,0.2,0.154,0.182,0.183,0.193,0.825,0.078,0.498,0.53,0.225,0.194,0.183,0.096,0.09,0.114,0.121,0.055,0.071
L4_std,0.003,0.018,0.014,0.015,0.015,0.013,0.008,0.013,0.006,0.003,0.006,0.014,0.645,0.706,0.259,1.0,0.328,0.382,0.389,0.22,0.17,0.301,0.478,0.541,0.584,0.64,0.252,0.903,0.302,0.353,0.418,0.212,0.126,0.219,0.38,0.499,0.49,0.411,0.232,0.608,0.331,0.269,0.27,0.196,0.139,0.225,0.354,0.36,0.548,0.635,0.16,0.875,0.22,0.309,0.326,0.175,0.146,0.313,0.5,0.571,0.542,0.612,0.191,0.82,0.234,0.314,0.441,0.21,0.141,0.263,0.419,0.536,0.153,0.087,0.113
L5_std,0.028,0.029,0.056,0.001,0.048,0.047,0.004,0.007,0.002,0.003,0.024,0.015,0.784,0.081,0.702,0.328,1.0,0.231,0.332,0.191,0.202,0.117,0.151,0.196,0.717,0.038,0.664,0.271,0.93,0.186,0.284,0.158,0.175,0.074,0.127,0.173,0.589,0.222,0.576,0.318,0.739,0.36,0.35,0.195,0.168,0.177,0.208,0.235,0.726,0.024,0.593,0.288,0.902,0.124,0.314,0.185,0.194,0.109,0.124,0.169,0.601,0.067,0.586,0.157,0.854,0.069,0.231,0.104,0.145,0.038,0.067,0.086,0.091,0.011,0.011
L6_std,0.055,0.035,0.016,0.046,0.039,0.014,0.013,0.003,0.013,0.021,0.023,0.019,0.09,0.794,0.724,0.382,0.231,1.0,0.315,0.291,0.297,0.321,0.322,0.357,0.005,0.728,0.645,0.309,0.164,0.924,0.306,0.269,0.225,0.217,0.245,0.325,0.235,0.642,0.606,0.417,0.405,0.733,0.309,0.263,0.295,0.346,0.344,0.338,0.059,0.627,0.594,0.281,0.111,0.86,0.272,0.275,0.294,0.334,0.309,0.325,0.066,0.595,0.54,0.199,0.03,0.832,0.254,0.239,0.198,0.207,0.224,0.276,0.143,0.042,0.037
L7_std,0.006,0.007,0.004,0.011,0.004,0.001,0.025,0.008,0.001,0.009,0.01,0.008,0.381,0.322,0.33,0.389,0.332,0.315,1.0,0.571,0.388,0.266,0.273,0.329,0.284,0.281,0.297,0.299,0.27,0.295,0.938,0.495,0.298,0.177,0.17,0.25,0.33,0.2,0.272,0.267,0.317,0.223,0.841,0.516,0.358,0.248,0.269,0.296,0.42,0.342,0.329,0.435,0.332,0.313,0.907,0.571,0.403,0.289,0.307,0.37,0.23,0.25,0.26,0.247,0.22,0.264,0.847,0.435,0.251,0.16,0.16,0.207,0.154,0.037,0.041
L8_std,0.011,0.002,0.004,0.002,0.011,0.001,0.01,0.015,0.005,0.019,0.017,0.013,0.17,0.26,0.268,0.22,0.191,0.291,0.571,1.0,0.655,0.374,0.254,0.246,0.105,0.223,0.257,0.152,0.163,0.272,0.537,0.927,0.567,0.309,0.194,0.19,0.209,0.173,0.189,0.194,0.198,0.182,0.492,0.834,0.538,0.318,0.222,0.214,0.171,0.28,0.271,0.233,0.177,0.311,0.568,0.916,0.627,0.357,0.256,0.275,0.043,0.2,0.227,0.107,0.104,0.255,0.506,0.847,0.536,0.285,0.18,0.159,0.116,0.022,0.015
L9_std,0.005,0.002,0.007,0.002,0.008,0.004,0.004,0.012,0.006,0.009,0.001,0.004,0.155,0.246,0.274,0.17,0.202,0.297,0.388,0.655,1.0,0.647,0.416,0.319,0.092,0.203,0.25,0.104,0.168,0.268,0.347,0.614,0.89,0.569,0.378,0.277,0.194,0.204,0.214,0.188,0.204,0.22,0.374,0.556,0.749,0.492,0.318,0.267,0.146,0.245,0.278,0.161,0.187,0.311,0.366,0.606,0.886,0.587,0.375,0.317,0.031,0.17,0.221,0.056,0.115,0.243,0.298,0.555,0.818,0.54,0.35,0.238,0.127,0.037,0.037
L10_std,0.017,0.006,0.021,0.004,0.024,0.012,0.007,0.019,0.004,0.0,0.0,0.003,0.162,0.367,0.206,0.301,0.117,0.321,0.266,0.374,0.647,1.0,0.706,0.489,0.126,0.353,0.198,0.271,0.1,0.314,0.258,0.353,0.599,0.897,0.669,0.475,0.166,0.22,0.157,0.209,0.14,0.195,0.242,0.342,0.452,0.647,0.441,0.316,0.148,0.36,0.205,0.276,0.096,0.335,0.227,0.329,0.589,0.88,0.659,0.493,0.103,0.336,0.172,0.246,0.06,0.303,0.223,0.306,0.585,0.863,0.67,0.481,0.096,0.032,0.024
L11_std,0.012,0.014,0.024,0.005,0.024,0.017,0.009,0.029,0.017,0.017,0.006,0.001,0.285,0.461,0.19,0.478,0.151,0.322,0.273,0.254,0.416,0.706,1.0,0.762,0.252,0.45,0.191,0.447,0.14,0.323,0.276,0.227,0.352,0.641,0.911,0.753,0.247,0.254,0.166,0.294,0.182,0.196,0.227,0.255,0.339,0.462,0.674,0.484,0.263,0.451,0.163,0.45,0.111,0.319,0.225,0.215,0.382,0.652,0.874,0.746,0.242,0.442,0.157,0.427,0.101,0.313,0.249,0.195,0.342,0.648,0.855,0.761,0.102,0.01,0.003
L12_std,0.019,0.001,0.018,0.005,0.024,0.006,0.002,0.023,0.011,0.003,0.009,0.005,0.342,0.497,0.234,0.541,0.196,0.357,0.329,0.246,0.319,0.489,0.762,1.0,0.289,0.466,0.22,0.479,0.17,0.345,0.326,0.216,0.247,0.4,0.675,0.929,0.331,0.311,0.242,0.375,0.266,0.26,0.289,0.259,0.322,0.418,0.594,0.756,0.312,0.482,0.176,0.514,0.137,0.33,0.268,0.202,0.285,0.452,0.694,0.847,0.246,0.446,0.167,0.436,0.108,0.318,0.285,0.18,0.223,0.388,0.633,0.789,0.114,0.013,0.024
L1_ptp,0.041,0.007,0.033,0.028,0.038,0.016,0.0,0.014,0.008,0.019,0.033,0.019,0.926,0.115,0.284,0.584,0.717,0.005,0.284,0.105,0.092,0.126,0.252,0.289,1.0,0.122,0.327,0.622,0.774,0.009,0.305,0.115,0.122,0.142,0.272,0.317,0.556,0.104,0.238,0.318,0.453,0.105,0.235,0.11,0.039,0.082,0.174,0.195,0.824,0.105,0.221,0.535,0.644,0.037,0.253,0.076,0.063,0.107,0.233,0.287,0.881,0.069,0.272,0.52,0.727,0.061,0.281,0.073,0.103,0.122,0.238,0.286,0.007,0.064,0.058
L2_ptp,0.035,0.007,0.032,0.007,0.04,0.016,0.009,0.006,0.005,0.002,0.018,0.021,0.143,0.914,0.335,0.64,0.038,0.728,0.281,0.223,0.203,0.353,0.45,0.466,0.122,1.0,0.352,0.683,0.027,0.787,0.345,0.246,0.186,0.314,0.422,0.5,0.211,0.527,0.297,0.428,0.214,0.435,0.207,0.203,0.191,0.274,0.336,0.313,0.104,0.768,0.243,0.514,0.047,0.635,0.228,0.19,0.186,0.36,0.45,0.465,0.077,0.868,0.258,0.562,0.081,0.718,0.314,0.214,0.158,0.307,0.413,0.497,0.03,0.005,0.028
L3_ptp,0.002,0.024,0.023,0.01,0.013,0.027,0.002,0.002,0.005,0.01,0.006,0.01,0.359,0.345,0.919,0.252,0.664,0.645,0.297,0.257,0.25,0.198,0.191,0.22,0.327,0.352,1.0,0.234,0.675,0.677,0.293,0.261,0.226,0.156,0.182,0.226,0.345,0.359,0.601,0.287,0.539,0.512,0.304,0.231,0.241,0.255,0.242,0.246,0.338,0.261,0.829,0.214,0.571,0.533,0.279,0.248,0.25,0.2,0.17,0.194,0.22,0.208,0.898,0.11,0.546,0.551,0.214,0.198,0.174,0.102,0.111,0.131,0.027,0.081,0.097
L4_ptp,0.002,0.025,0.02,0.021,0.018,0.022,0.007,0.011,0.012,0.014,0.003,0.009,0.577,0.628,0.196,0.903,0.271,0.309,0.299,0.152,0.104,0.271,0.447,0.479,0.622,0.683,0.234,1.0,0.299,0.344,0.378,0.186,0.121,0.271,0.446,0.528,0.395,0.329,0.18,0.487,0.266,0.206,0.197,0.14,0.072,0.163,0.286,0.282,0.473,0.539,0.1,0.76,0.171,0.231,0.23,0.099,0.066,0.255,0.436,0.481,0.566,0.616,0.159,0.853,0.225,0.286,0.372,0.163,0.113,0.279,0.444,0.543,0.011,0.064,0.087
L5_ptp,0.027,0.017,0.045,0.005,0.04,0.034,0.003,0.009,0.003,0.011,0.034,0.024,0.748,0.04,0.622,0.302,0.93,0.164,0.27,0.163,0.168,0.1,0.14,0.17,0.774,0.027,0.675,0.299,1.0,0.155,0.253,0.165,0.185,0.099,0.158,0.181,0.492,0.16,0.448,0.252,0.589,0.268,0.283,0.158,0.124,0.135,0.165,0.186,0.694,0.022,0.551,0.286,0.856,0.101,0.26,0.154,0.157,0.09,0.117,0.157,0.649,0.082,0.596,0.179,0.905,0.04,0.187,0.099,0.14,0.045,0.085,0.096,0.0,0.003,0.025
L6_ptp,0.036,0.018,0.013,0.023,0.027,0.007,0.009,0.002,0.008,0.015,0.016,0.012,0.064,0.741,0.66,0.353,0.186,0.924,0.295,0.272,0.268,0.314,0.323,0.345,0.009,0.787,0.677,0.344,0.155,1.0,0.322,0.277,0.226,0.25,0.287,0.353,0.204,0.52,0.493,0.342,0.334,0.586,0.267,0.247,0.27,0.314,0.313,0.297,0.055,0.599,0.574,0.275,0.104,0.817,0.262,0.259,0.271,0.332,0.32,0.327,0.069,0.64,0.574,0.222,0.019,0.896,0.258,0.228,0.179,0.219,0.248,0.296,0.043,0.075,0.071
L7_ptp,0.011,0.016,0.001,0.022,0.003,0.007,0.016,0.005,0.007,0.008,0.009,0.008,0.365,0.343,0.293,0.418,0.284,0.306,0.938,0.537,0.347,0.258,0.276,0.326,0.305,0.345,0.293,0.378,0.253,0.322,1.0,0.516,0.29,0.197,0.2,0.283,0.328,0.204,0.244,0.284,0.289,0.207,0.739,0.487,0.339,0.25,0.271,0.284,0.405,0.366,0.289,0.466,0.286,0.307,0.848,0.523,0.36,0.292,0.325,0.381,0.226,0.285,0.232,0.289,0.179,0.269,0.873,0.426,0.213,0.154,0.168,0.22,0.027,0.005,0.009
L8_ptp,0.011,0.006,0.008,0.002,0.014,0.006,0.001,0.013,0.002,0.015,0.011,0.013,0.141,0.25,0.24,0.212,0.158,0.269,0.495,0.927,0.614,0.353,0.227,0.216,0.115,0.246,0.261,0.186,0.165,0.277,0.516,1.0,0.632,0.35,0.209,0.193,0.194,0.171,0.17,0.196,0.175,0.169,0.417,0.703,0.447,0.275,0.206,0.201,0.136,0.27,0.235,0.222,0.136,0.288,0.486,0.812,0.537,0.31,0.223,0.243,0.027,0.192,0.206,0.106,0.081,0.236,0.46,0.887,0.564,0.289,0.162,0.133,0.014,0.051,0.048
L9_ptp,0.007,0.006,0.01,0.001,0.01,0.009,0.0,0.008,0.0,0.002,0.008,0.003,0.128,0.184,0.219,0.126,0.175,0.225,0.298,0.567,0.89,0.599,0.352,0.247,0.122,0.186,0.226,0.121,0.185,0.226,0.29,0.632,1.0,0.643,0.38,0.247,0.151,0.155,0.172,0.144,0.164,0.171,0.3,0.421,0.53,0.364,0.243,0.215,0.108,0.177,0.222,0.109,0.158,0.237,0.277,0.482,0.718,0.482,0.291,0.236,0.04,0.129,0.184,0.045,0.118,0.185,0.229,0.566,0.891,0.566,0.318,0.183,0.038,0.049,0.056
L10_ptp,0.013,0.013,0.022,0.001,0.022,0.018,0.005,0.016,0.011,0.012,0.011,0.0,0.113,0.264,0.131,0.219,0.074,0.217,0.177,0.309,0.569,0.897,0.641,0.4,0.142,0.314,0.156,0.271,0.099,0.25,0.197,0.35,0.643,1.0,0.717,0.455,0.101,0.143,0.095,0.134,0.083,0.122,0.167,0.259,0.334,0.459,0.333,0.225,0.088,0.24,0.132,0.181,0.056,0.223,0.145,0.247,0.466,0.726,0.562,0.395,0.108,0.27,0.122,0.221,0.056,0.224,0.151,0.296,0.605,0.903,0.675,0.446,0.016,0.047,0.045
L11_ptp,0.008,0.018,0.023,0.01,0.02,0.02,0.005,0.023,0.02,0.027,0.016,0.006,0.234,0.361,0.149,0.38,0.127,0.245,0.17,0.194,0.378,0.669,0.911,0.675,0.272,0.422,0.182,0.446,0.158,0.287,0.2,0.209,0.38,0.717,1.0,0.771,0.187,0.197,0.129,0.219,0.142,0.152,0.146,0.198,0.291,0.394,0.538,0.388,0.2,0.326,0.125,0.328,0.091,0.231,0.129,0.152,0.325,0.573,0.765,0.641,0.25,0.378,0.139,0.391,0.115,0.257,0.155,0.164,0.351,0.673,0.886,0.757,0.022,0.033,0.028
L12_ptp,0.016,0.01,0.023,0.002,0.026,0.015,0.002,0.017,0.015,0.011,0.014,0.003,0.311,0.461,0.209,0.499,0.173,0.325,0.25,0.19,0.277,0.475,0.753,0.929,0.317,0.5,0.226,0.528,0.181,0.353,0.283,0.193,0.247,0.455,0.771,1.0,0.295,0.289,0.224,0.338,0.242,0.242,0.223,0.218,0.29,0.39,0.545,0.653,0.27,0.423,0.15,0.449,0.113,0.287,0.188,0.143,0.238,0.423,0.662,0.794,0.263,0.443,0.159,0.448,0.111,0.305,0.218,0.138,0.204,0.411,0.684,0.842,0.003,0.01,0.005
L1_bp_0_5Hz,0.014,0.032,0.039,0.005,0.027,0.044,0.029,0.006,0.009,0.013,0.006,0.014,0.677,0.258,0.388,0.49,0.589,0.235,0.33,0.209,0.194,0.166,0.247,0.331,0.556,0.211,0.345,0.395,0.492,0.204,0.328,0.194,0.151,0.101,0.187,0.295,1.0,0.442,0.508,0.733,0.783,0.402,0.402,0.3,0.294,0.367,0.447,0.452,0.543,0.17,0.261,0.383,0.458,0.122,0.278,0.168,0.165,0.166,0.234,0.299,0.329,0.071,0.218,0.189,0.334,0.076,0.219,0.088,0.067,0.031,0.089,0.163,0.092,0.061,0.071
L2_bp_0_5Hz,0.055,0.053,0.005,0.056,0.026,0.036,0.036,0.01,0.017,0.023,0.033,0.029,0.165,0.654,0.453,0.411,0.222,0.642,0.2,0.173,0.204,0.22,0.254,0.311,0.104,0.527,0.359,0.329,0.16,0.52,0.204,0.171,0.155,0.143,0.197,0.289,0.442,1.0,0.632,0.795,0.49,0.857,0.316,0.262,0.332,0.448,0.491,0.482,0.085,0.41,0.251,0.23,0.082,0.411,0.13,0.123,0.157,0.204,0.216,0.239,0.022,0.273,0.191,0.099,0.012,0.319,0.092,0.078,0.07,0.074,0.097,0.155,0.066,0.089,0.096
L3_bp_0_5Hz,0.025,0.064,0.041,0.048,0.014,0.056,0.029,0.01,0.018,0.023,0.015,0.022,0.313,0.356,0.766,0.232,0.576,0.606,0.272,0.189,0.214,0.157,0.166,0.242,0.238,0.297,0.601,0.18,0.448,0.493,0.244,0.17,0.172,0.095,0.129,0.224,0.508,0.632,1.0,0.494,0.847,0.873,0.393,0.258,0.296,0.352,0.375,0.402,0.25,0.165,0.512,0.118,0.409,0.361,0.21,0.158,0.181,0.13,0.104,0.148,0.096,0.096,0.391,0.004,0.271,0.281,0.13,0.081,0.093,0.021,0.023,0.073,0.017,0.07,0.085
L4_bp_0_5Hz,0.022,0.028,0.01,0.02,0.008,0.027,0.038,0.008,0.012,0.015,0.019,0.025,0.401,0.533,0.346,0.608,0.318,0.417,0.267,0.194,0.188,0.209,0.294,0.375,0.318,0.428,0.287,0.487,0.252,0.342,0.284,0.196,0.144,0.134,0.219,0.338,0.733,0.795,0.494,1.0,0.564,0.596,0.366,0.294,0.326,0.446,0.541,0.537,0.275,0.35,0.167,0.421,0.169,0.234,0.194,0.136,0.141,0.202,0.277,0.334,0.129,0.214,0.124,0.22,0.083,0.169,0.165,0.091,0.054,0.063,0.115,0.196,0.118,0.082,0.086
L5_bp_0_5Hz,0.002,0.054,0.053,0.027,0.034,0.06,0.031,0.009,0.015,0.019,0.007,0.017,0.557,0.259,0.659,0.331,0.739,0.405,0.317,0.198,0.204,0.14,0.182,0.266,0.453,0.214,0.539,0.266,0.589,0.334,0.289,0.175,0.164,0.083,0.142,0.242,0.783,0.49,0.847,0.564,1.0,0.638,0.425,0.278,0.286,0.339,0.388,0.413,0.455,0.105,0.44,0.214,0.56,0.203,0.258,0.166,0.174,0.119,0.133,0.19,0.262,0.033,0.35,0.071,0.4,0.148,0.176,0.078,0.083,0.007,0.034,0.093,0.016,0.054,0.068
