,L11_bp_15_40Hz,L5_std,L4_bp_15_40Hz,L12_bp_15_40Hz,L3_std,L5_ptp,L4_ptp,L11_ptp,L10_bp_15_40Hz,L5_bp_5_15Hz,L3_ptp,L7_bp_15_40Hz,L5_rms,L4_bp_5_15Hz,L5_bp_15_40Hz,L3_rms,L1_bp_5_15Hz,L4_std,L3_bp_5_15Hz,L7_bp_5_15Hz,L3_bp_15_40Hz,L1_bp_15_40Hz,L12_bp_5_15Hz,L11_bp_5_15Hz,L10_ptp
L3_ptp,0.111,0.664,0.11,0.131,0.919,0.675,0.234,0.182,0.102,0.571,1.0,0.214,0.665,0.214,0.546,0.915,0.338,0.252,0.829,0.279,0.898,0.22,0.194,0.17,0.156
L7_bp_15_40Hz,0.215,0.231,0.408,0.272,0.225,0.187,0.372,0.155,0.191,0.245,0.214,1.0,0.23,0.496,0.199,0.224,0.407,0.441,0.238,0.846,0.232,0.312,0.357,0.303,0.151
L5_rms,0.067,0.997,0.158,0.089,0.704,0.926,0.276,0.13,0.038,0.895,0.665,0.23,1.0,0.289,0.845,0.707,0.721,0.333,0.59,0.313,0.581,0.597,0.172,0.126,0.075
L4_bp_5_15Hz,0.383,0.288,0.74,0.495,0.192,0.286,0.76,0.328,0.225,0.278,0.214,0.496,0.289,1.0,0.249,0.194,0.652,0.875,0.192,0.442,0.185,0.521,0.666,0.582,0.181
L5_bp_15_40Hz,0.115,0.854,0.23,0.112,0.498,0.905,0.225,0.115,0.068,0.852,0.546,0.199,0.845,0.249,1.0,0.492,0.7,0.234,0.485,0.227,0.603,0.755,0.098,0.073,0.056
L3_rms,0.09,0.701,0.08,0.117,0.997,0.62,0.2,0.152,0.094,0.572,0.915,0.224,0.707,0.194,0.492,1.0,0.326,0.263,0.851,0.299,0.816,0.183,0.184,0.155,0.131
L1_bp_5_15Hz,0.202,0.726,0.434,0.254,0.327,0.694,0.473,0.2,0.094,0.782,0.338,0.407,0.721,0.652,0.7,0.326,1.0,0.548,0.333,0.448,0.318,0.784,0.406,0.343,0.088
L4_std,0.419,0.328,0.82,0.536,0.259,0.302,0.903,0.38,0.263,0.22,0.252,0.441,0.333,0.875,0.234,0.263,0.548,1.0,0.16,0.326,0.191,0.542,0.571,0.5,0.219
L3_bp_5_15Hz,0.09,0.593,0.025,0.082,0.86,0.551,0.1,0.125,0.111,0.619,0.829,0.238,0.59,0.192,0.485,0.851,0.333,0.16,1.0,0.353,0.841,0.145,0.188,0.181,0.132
L7_bp_5_15Hz,0.139,0.314,0.193,0.169,0.301,0.26,0.23,0.129,0.141,0.365,0.279,0.846,0.313,0.442,0.227,0.299,0.448,0.326,0.353,1.0,0.259,0.209,0.375,0.309,0.145
L3_bp_15_40Hz,0.134,0.586,0.143,0.141,0.825,0.596,0.159,0.139,0.131,0.555,0.898,0.232,0.581,0.185,0.603,0.816,0.318,0.191,0.841,0.259,1.0,0.26,0.146,0.136,0.122
L1_bp_15_40Hz,0.319,0.601,0.652,0.362,0.183,0.649,0.566,0.25,0.177,0.572,0.22,0.312,0.597,0.521,0.755,0.183,0.784,0.542,0.145,0.209,0.26,1.0,0.244,0.212,0.108
L12_bp_5_15Hz,0.665,0.169,0.448,0.802,0.182,0.157,0.481,0.641,0.407,0.167,0.194,0.357,0.172,0.666,0.098,0.184,0.406,0.571,0.188,0.375,0.146,0.244,1.0,0.85,0.395
L11_bp_5_15Hz,0.801,0.124,0.413,0.717,0.154,0.117,0.436,0.765,0.596,0.137,0.17,0.303,0.126,0.582,0.073,0.155,0.343,0.5,0.181,0.309,0.136,0.212,0.85,1.0,0.562
L10_ptp,0.675,0.074,0.221,0.446,0.131,0.099,0.271,0.717,0.903,0.056,0.156,0.151,0.075,0.181,0.056,0.131,0.088,0.219,0.132,0.145,0.122,0.108,0.395,0.562,1.0
